Q,U,probability
32300176,6084,0.546234547
32300176,6636,0.536853914
32300176,6644,0.529477824
32300176,6108,0.519283993
32300176,5372,0.499462836
32300176,6652,0.458738246
32300176,5444,0.442792809
32300176,5036,0.35
32300176,6660,0.335343372
32300176,6668,0.288037147
32300176,6676,0.228634586
32300176,6684,0.22065231
32300176,5156,0.214681881
32300176,5100,0.204824258
32300176,6076,0.178250654
32300176,5180,0.135751282
32300176,4892,0.132467618
32339419,6572,0.522107269
32339419,6564,0.510516356
32339419,6580,0.457459831
32339419,6596,0.444912146
32339419,6604,0.429458194
32339419,6692,0.38480492
32339419,5508,0.358933568
32339419,6700,0.350322251
32339419,5036,0.35
32339419,5100,0.311187159
32339419,6708,0.304967106
32339419,6348,0.303478915
32339419,6716,0.301650613
32339419,6412,0.28697088
32339419,6084,0.27905205
32339419,6356,0.275403659
32339419,6620,0.267555067
32339419,6724,0.263836457
32339419,6364,0.260553828
32339419,6732,0.252154943
32355668,6740,0.436713961
32355668,6748,0.412031808
32355668,6756,0.411579413
32355668,6764,0.391729061
32355668,6772,0.37495576
32355668,6564,0.350916851
32355668,6572,0.350472675
32355668,5036,0.35
32355668,6780,0.333482379
32355668,6580,0.312547779
32355668,6596,0.301094704
32355668,4892,0.289835241
32355668,6604,0.287598197
32355668,5156,0.277291632
32355668,6412,0.26862095
32355668,6788,0.268421296
32355668,5500,0.265679878
32355668,5100,0.252545213
32355668,5508,0.239221547
32355668,6524,0.231424542
32369819,5596,0.641325338
32369819,5180,0.639646333
32369819,5708,0.628344537
32369819,5620,0.611937411
32369819,5700,0.603718409
32369819,4828,0.603476485
32369819,5612,0.602251283
32369819,6796,0.598516477
32369819,5668,0.595140764
32369819,5636,0.586096055
32369819,5628,0.583572507
32369819,5652,0.57735354
32369819,5644,0.577199866
32369819,5660,0.56942483
32369819,5684,0.562656783
32369819,5692,0.558428633
32369819,5716,0.549714422
32369819,5732,0.546169474
32369819,6804,0.542455377
32369819,6812,0.539541285
32412055,4732,0.630427726
32412055,4740,0.622722604
32412055,4748,0.618839133
32412055,4828,0.614838762
32412055,4764,0.598026667
32412055,4772,0.59394858
32412055,4756,0.587406026
32412055,4780,0.572419699
32412055,4788,0.57204219
32412055,4796,0.549044687
32412055,4804,0.534477689
32412055,4820,0.530702165
32412055,4812,0.501837082
32412055,4860,0.497374497
32412055,6820,0.476562742
32412055,5708,0.41622899
32412055,4836,0.401388743
32412055,4844,0.390494302
32412055,4852,0.381455185
32412055,5180,0.370832967
32427098,6828,0.566408993
32427098,6836,0.538821145
32427098,6332,0.411596183
32427098,6844,0.399995931
32427098,6852,0.385650756
32427098,5964,0.359482505
32427098,6860,0.354664146
32427098,5036,0.35
32427098,5156,0.317648947
32427098,6868,0.307311235
32427098,6876,0.277835948
32427098,6148,0.247332533
32427098,6884,0.239102339
32427098,6892,0.219454425
32427098,5412,0.217469194
32427098,6900,0.204909669
32427098,5100,0.204824258
32427098,5164,0.197671356
32427098,6908,0.156027755
32427098,4804,0.147735968
32428185,6916,0.443155274
32428185,6924,0.432952837
32428185,6932,0.424866257
32428185,6940,0.41531954
32428185,6948,0.414515435
32428185,5548,0.407201624
32428185,6956,0.397450841
32428185,6964,0.375958585
32428185,5156,0.370560677
32428185,5564,0.368346409
32428185,5404,0.359931774
32428185,5036,0.35
32428185,6972,0.339936224
32428185,6980,0.320957778
32428185,6076,0.30762478
32428185,6988,0.300786218
32428185,6204,0.293827302
32428185,6996,0.288750904
32428185,5524,0.282087521
32428185,5204,0.279392326
32449015,5596,0.745366277
32449015,5180,0.73430288
32449015,5612,0.704960825
32449015,5620,0.685653206
32449015,5628,0.684730472
32449015,5636,0.681578189
32449015,5652,0.679035363
32449015,5644,0.676649887
32449015,5660,0.669232617
32449015,5668,0.668624538
32449015,5684,0.662394018
32449015,5692,0.659717864
32449015,5700,0.657227771
32449015,5716,0.649994856
32449015,5732,0.647851297
32449015,5708,0.647805828
32449015,6804,0.644137201
32449015,6812,0.640655563
32449015,6796,0.63864003
32449015,5676,0.636175711
32452733,6572,0.563701375
32452733,6564,0.549193866
32452733,6580,0.492577968
32452733,6596,0.479765015
32452733,6604,0.463836693
32452733,5508,0.387944704
32452733,6700,0.376276396
32452733,7004,0.351893763
32452733,5036,0.35
32452733,6716,0.344059199
32452733,6692,0.32886769
32452733,6708,0.323567128
32452733,5100,0.323316504
32452733,6412,0.307130992
32452733,6724,0.306947515
32452733,6084,0.297964652
32452733,6732,0.295337927
32452733,7012,0.29065708
32452733,7020,0.289839667
32452733,6268,0.287714752
32461287,5156,0.437651349
32461287,6932,0.410021529
32461287,6948,0.399670706
32461287,5548,0.395658053
32461287,6956,0.382606113
32461287,5036,0.365392203
32461287,6916,0.358829958
32461287,6924,0.354062299
32461287,5988,0.305282129
32461287,6372,0.294596848
32461287,7028,0.291858635
32461287,6988,0.289511294
32461287,5100,0.286979312
32461287,7036,0.283864562
32461287,7044,0.277972468
32461287,5388,0.277266907
32461287,7052,0.275690166
32461287,6428,0.274566043
32461287,5556,0.271361793
32461287,6780,0.263937141
32466349,5428,0.627880674
32466349,6020,0.584337533
32466349,6028,0.552545758
32466349,6036,0.537522853
32466349,6044,0.529822859
32466349,6468,0.43487288
32466349,6484,0.421516648
32466349,6476,0.418901803
32466349,5036,0.396123349
32466349,6492,0.389923754
32466349,6508,0.386795914
32466349,6500,0.385483485
32466349,6052,0.373406099
32466349,5100,0.368097961
32466349,6516,0.351540176
32466349,5156,0.336709559
32466349,6060,0.329146087
32466349,6524,0.32430571
32466349,6100,0.267440807
32466349,6532,0.263195188
32469696,5596,0.741223042
32469696,5180,0.734946091
32469696,5612,0.704493543
32469696,5628,0.685417861
32469696,5620,0.682722116
32469696,5636,0.682267152
32469696,5652,0.679726312
32469696,5644,0.67732567
32469696,5660,0.669910832
32469696,5668,0.669302248
32469696,5684,0.663071753
32469696,5692,0.660406145
32469696,5700,0.657911166
32469696,5716,0.650676282
32469696,5732,0.648542246
32469696,5708,0.648475242
32469696,6804,0.644828149
32469696,6812,0.641342655
32469696,6796,0.639317802
32469696,5676,0.636837732
32478861,7060,0.633229435
32478861,7068,0.575490674
32478861,5420,0.459358196
32478861,7076,0.406721664
32478861,5036,0.35
32478861,7028,0.340799328
32478861,5156,0.302305996
32478861,7084,0.220887611
32478861,7092,0.208399194
32478861,5100,0.204824258
32478861,7100,0.174668617
32478861,6876,0.166332418
32478861,5572,0.155883743
32478861,5180,0.139078113
32478861,5532,0.137382637
32478861,4892,0.132467618
32478861,7108,0.130404466
32478861,5412,0.128868199
32478861,5428,0.120400855
32478861,5116,0.120204306
32508492,6116,0.548312821
32508492,7116,0.526509584
32508492,5156,0.521190486
32508492,7124,0.518331414
32508492,7132,0.518331396
32508492,6244,0.504440867
32508492,7140,0.4940458
32508492,5772,0.448476285
32508492,5748,0.444930506
32508492,5780,0.441512296
32508492,5788,0.435396618
32508492,5804,0.425879114
32508492,5812,0.422001147
32508492,5820,0.421435926
32508492,5276,0.419755909
32508492,5828,0.419038052
32508492,5796,0.418657085
32508492,5764,0.413800802
32508492,5836,0.410992968
32508492,5844,0.410710345
32518905,4772,0.655341657
32518905,4812,0.636690947
32518905,4732,0.623170272
32518905,4740,0.61546515
32518905,4748,0.61158168
32518905,4764,0.590894555
32518905,4756,0.580208793
32518905,4780,0.56574236
32518905,4788,0.565511856
32518905,4796,0.542357501
32518905,4804,0.528295998
32518905,4820,0.462107072
32518905,4828,0.441286743
32518905,6716,0.430771038
32518905,4836,0.396740874
32518905,4844,0.385715609
32518905,4860,0.377582304
32518905,4852,0.376780694
32518905,4868,0.364343711
32518905,4876,0.360404142
32535132,6844,0.592586128
32535132,6852,0.578240951
32535132,6860,0.520358113
32535132,5156,0.369442419
32535132,5036,0.35
32535132,6900,0.326738667
32535132,7148,0.323850196
32535132,7156,0.301974476
32535132,5412,0.293057641
32535132,5164,0.274427738
32535132,6908,0.273901249
32535132,7164,0.242538999
32535132,5940,0.207928162
32535132,4804,0.206936702
32535132,5100,0.204824258
32535132,5932,0.197950238
32535132,6148,0.192782917
32535132,7100,0.19272545
32535132,6532,0.180188332
32535132,7084,0.159025341
32554485,5596,0.740913876
32554485,5180,0.734651155
32554485,5612,0.704177121
32554485,5628,0.687218163
32554485,5620,0.682407866
32554485,5636,0.681951237
32554485,5652,0.679409486
32554485,5644,0.677015799
32554485,5684,0.675355865
32554485,5660,0.669599845
32554485,5668,0.668991493
32554485,5692,0.660090542
32554485,5700,0.657597804
32554485,5716,0.650363823
32554485,5732,0.648225421
32554485,5708,0.648168291
32554485,6804,0.644511324
32554485,6812,0.641027598
32554485,6796,0.639007019
32554485,5676,0.636534171
32582232,7172,0.657278861
32582232,7180,0.652402754
32582232,7188,0.640172378
32582232,7196,0.638753998
32582232,7204,0.634291581
32582232,7212,0.624897154
32582232,7220,0.623903319
32582232,7228,0.545287573
32582232,5156,0.540179257
32582232,7236,0.524878136
32582232,7244,0.437205436
32582232,5036,0.35
32582232,7252,0.344664408
32582232,6108,0.305567723
32582232,5932,0.289023714
32582232,7068,0.287615528
32582232,6484,0.251679111
32582232,7260,0.245573656
32582232,5100,0.229968222
32582232,7268,0.205770597
32628229,5428,0.704864582
32628229,6020,0.66132144
32628229,6028,0.629529667
32628229,6036,0.614506762
32628229,6044,0.602480824
32628229,6052,0.425493608
32628229,5100,0.392866331
32628229,5036,0.375108751
32628229,6060,0.374506699
32628229,5156,0.323004497
32628229,6100,0.301956509
32628229,5028,0.279271091
32628229,6076,0.262382132
32628229,5444,0.256383999
32628229,6468,0.250921592
32628229,6484,0.250510732
32628229,7276,0.246079638
32628229,7012,0.236838436
32628229,6476,0.234950514
32628229,7284,0.223662964
32659972,6212,0.454417238
32659972,6932,0.444638886
32659972,6588,0.434719908
32659972,6948,0.434288064
32659972,5548,0.422577234
32659972,6204,0.418081035
32659972,6956,0.41722347
32659972,6612,0.394846225
32659972,6916,0.391160436
32659972,6924,0.38560823
32659972,5156,0.378363272
32659972,5036,0.35
32659972,6988,0.315803999
32659972,7292,0.305396754
32659972,6196,0.301439012
32659972,6172,0.27477176
32659972,6548,0.273116294
32659972,7300,0.266246167
32659972,6052,0.252099505
32659972,7308,0.249387209
32670220,7316,0.519909667
32670220,7324,0.519890242
32670220,7332,0.504882577
32670220,7340,0.49423563
32670220,5956,0.482254917
32670220,7348,0.434155149
32670220,6564,0.36151459
32670220,5036,0.35
32670220,7356,0.321958442
32670220,6572,0.288164481
32670220,6580,0.259940621
32670220,7364,0.254791688
32670220,6596,0.24888492
32670220,6412,0.245990502
32670220,5100,0.243875386
32670220,6604,0.236099021
32670220,7372,0.221518416
32670220,6548,0.221011274
32670220,5156,0.214681881
32670220,7300,0.209428353
32680908,5596,0.637489742
32680908,5180,0.635987277
32680908,5708,0.617791426
32680908,5620,0.605414497
32680908,5612,0.598325667
32680908,5700,0.595815343
32680908,6796,0.589573859
32680908,4828,0.580556372
32680908,5628,0.57966213
32680908,5636,0.576269309
32680908,5652,0.573422913
32680908,5644,0.573355512
32680908,5660,0.565566646
32680908,5668,0.565035739
32680908,5684,0.558801327
32680908,5692,0.554513182
32680908,5716,0.545837967
32680908,5676,0.545534345
32680908,5732,0.542238848
32680908,6804,0.53852475
32695701,7060,0.640635927
32695701,7068,0.582131482
32695701,5420,0.464604084
32695701,7076,0.411317271
32695701,5036,0.35
32695701,7028,0.344949927
32695701,5156,0.303375269
32695701,5100,0.24109519
32695701,7380,0.199473987
32695701,5988,0.190993523
32695701,7388,0.19093969
32695701,6372,0.180308242
32695701,6876,0.168178661
32695701,6100,0.158456506
32695701,5044,0.153114068
32695701,6396,0.135832616
32695701,5180,0.135751282
32695701,4892,0.132467618
32695701,5412,0.128868199
32695701,6412,0.126981156
32720666,7396,0.577427599
32720666,7404,0.556839699
32720666,7412,0.537356164
32720666,7420,0.518830523
32720666,7428,0.518522681
32720666,7268,0.497103906
32720666,6892,0.495314253
32720666,7436,0.425800819
32720666,7252,0.422307497
32720666,5500,0.385794076
32720666,4868,0.38255623
32720666,6884,0.374453237
32720666,5036,0.35
32720666,5292,0.326813574
32720666,5300,0.305319027
32720666,5268,0.302203672
32720666,6524,0.301987819
32720666,7228,0.295333786
32720666,5340,0.29418295
32720666,5308,0.290641538
33883067,7092,0.612619274
33883067,7084,0.60234279
33883067,7100,0.559179529
33883067,5868,0.446549845
33883067,5572,0.40414549
33883067,5036,0.35
33883067,5156,0.308678082
33883067,5556,0.282846246
33883067,7436,0.251236829
33883067,5548,0.248331995
33883067,5780,0.246647508
33883067,5876,0.221115143
33883067,7260,0.218001033
33883067,6284,0.205722802
33883067,5100,0.204824258
33883067,7276,0.204732997
33883067,6932,0.202798732
33883067,6948,0.192447907
33883067,5380,0.188084536
33883067,5772,0.185110401
33901081,5772,0.679986779
33901081,5748,0.677529362
33901081,5780,0.677029115
33901081,5788,0.672626083
33901081,5804,0.663108576
33901081,5812,0.659230613
33901081,5820,0.65866539
33901081,5828,0.653136424
33901081,5796,0.651388704
33901081,5836,0.647304283
33901081,5844,0.646943704
33901081,5764,0.643477272
33901081,5860,0.596787469
33901081,5756,0.572745647
33901081,5868,0.571581786
33901081,5740,0.558169871
33901081,5876,0.536253073
33901081,7444,0.5174406
33901081,5852,0.493003189
33901081,6772,0.459378218
33933967,5428,0.706624283
33933967,6020,0.66308114
33933967,6028,0.631289367
33933967,6036,0.616266462
33933967,6044,0.604141642
33933967,6100,0.437829941
33933967,5100,0.434764289
33933967,6052,0.426684226
33933967,6060,0.375543553
33933967,7276,0.362466625
33933967,5036,0.35
33933967,5156,0.294365651
33933967,5028,0.280059425
33933967,6076,0.259709365
33933967,7284,0.244101352
33933967,7012,0.237460704
33933967,6444,0.227358406
33933967,5988,0.210831167
33933967,6548,0.205107061
33933967,6708,0.200982616
33935401,5444,0.741838429
33935401,6668,0.523518427
33935401,6676,0.422969851
33935401,5036,0.35
33935401,5156,0.214681881
33935401,5100,0.204824258
33935401,5204,0.198589892
33935401,5252,0.195545631
33935401,5412,0.175669836
33935401,5220,0.159061491
33935401,7452,0.146518704
33935401,7460,0.146070917
33935401,5180,0.135751282
33935401,7468,0.133635515
33935401,4892,0.132467618
33935401,6980,0.127632679
33935401,5428,0.120400855
33935401,5116,0.120204306
33935401,5436,0.120168418
33935401,5228,0.120001627
33937316,5828,0.499862511
33937316,5772,0.496492662
33937316,5748,0.493172614
33937316,5780,0.490359604
33937316,5788,0.484599137
33937316,5852,0.479244868
33937316,5804,0.475081632
33937316,5812,0.471203666
33937316,5820,0.470638444
33937316,5796,0.46692673
33937316,5764,0.461436794
33937316,5836,0.460005058
33937316,5844,0.459706267
33937316,7476,0.440416021
33937316,5860,0.428946736
33937316,7484,0.411772975
33937316,5756,0.411330903
33937316,5740,0.410232239
33937316,5868,0.409909574
33937316,5876,0.385161417
33947647,7492,0.536491881
33947647,7500,0.5264834
33947647,6828,0.448295361
33947647,6836,0.420707514
33947647,5964,0.410471931
33947647,5036,0.35
33947647,6332,0.323693367
33947647,7508,0.273905875
33947647,6868,0.243852116
33947647,6884,0.230593498
33947647,6876,0.21729134
33947647,5156,0.214681881
33947647,5556,0.210269517
33947647,5100,0.204824258
33947647,6892,0.173527101
33947647,7516,0.16790635
33947647,6132,0.16076315
33947647,7524,0.137233339
33947647,5180,0.135751282
33947647,4892,0.132467618
33951570,6556,0.578772172
33951570,7532,0.56186282
33951570,7540,0.558323438
33951570,7548,0.544640241
33951570,7556,0.509494242
33951570,5156,0.356308101
33951570,5036,0.35
33951570,7516,0.336348768
33951570,6204,0.329081555
33951570,6172,0.320573401
33951570,4900,0.313921748
33951570,6188,0.296213325
33951570,6196,0.291957977
33951570,7564,0.286354772
33951570,6180,0.278147695
33951570,4940,0.275032267
33951570,4908,0.273871156
33951570,6212,0.27098525
33951570,4924,0.256782049
33951570,6220,0.254411431
33957662,5428,0.689083194
33957662,6044,0.650575479
33957662,6020,0.645540052
33957662,6028,0.613748278
33957662,6036,0.598725373
33957662,5668,0.45753064
33957662,5180,0.428803503
33957662,5596,0.420309933
33957662,6052,0.41481588
33957662,5100,0.387788915
33957662,5612,0.376048741
33957662,6060,0.365207958
33957662,5628,0.358248086
33957662,5620,0.356530774
33957662,5644,0.355679807
33957662,5636,0.354348368
33957662,5652,0.350862248
33957662,5036,0.35
33957662,5660,0.347107863
33957662,5684,0.340496968
33960909,7380,0.567181202
33960909,7388,0.558646908
33960909,5036,0.35
33960909,5156,0.348807706
33960909,5548,0.334451853
33960909,6932,0.331311972
33960909,6948,0.320961148
33960909,6956,0.303896555
33960909,6916,0.285320082
33960909,6924,0.282336251
33960909,7572,0.271368743
33960909,6052,0.266916784
33960909,5100,0.240719297
33960909,5428,0.231968163
33960909,6988,0.229729516
33960909,5380,0.223360559
33960909,6820,0.206530355
33960909,6204,0.199157155
33960909,6020,0.188425025
33960909,6156,0.186064868
33960920,6380,0.623145756
33960920,6388,0.613753303
33960920,6404,0.6114298
33960920,6420,0.496693736
33960920,6428,0.4577222
33960920,5156,0.433723857
33960920,5412,0.406612132
33960920,5852,0.35567172
33960920,5036,0.35
33960920,7084,0.304942033
33960920,7092,0.297469908
33960920,7100,0.247436693
33960920,6868,0.241859507
33960920,7340,0.220784224
33960920,5572,0.210588723
33960920,5596,0.209485166
33960920,5100,0.204824258
33960920,6436,0.174574594
33960920,5868,0.163938566
33960920,5556,0.144284237
33970813,7580,0.54958857
33970813,5036,0.35
33970813,5564,0.289868266
33970813,6604,0.275217789
33970813,7588,0.27490559
33970813,7596,0.273103451
33970813,6716,0.271173334
33970813,5404,0.266068095
33970813,7604,0.25833123
33970813,6972,0.243979227
33970813,6980,0.242886685
33970813,6940,0.241788346
33970813,5388,0.2353027
33970813,5100,0.235026677
33970813,7044,0.233104044
33970813,6724,0.232854342
33970813,7052,0.230821742
33970813,6964,0.229122699
33970813,7012,0.221578567
33970813,6732,0.221121138
33996372,5596,0.691450953
33996372,5180,0.68746484
33996372,5612,0.653553325
33996372,5620,0.637111242
33996372,5628,0.634675393
33996372,5636,0.631408517
33996372,5652,0.628721069
33996372,5644,0.627439935
33996372,5660,0.619845635
33996372,5668,0.619274321
33996372,5684,0.613041947
33996372,5692,0.609597832
33996372,5700,0.607463573
33996372,5716,0.600373998
33996372,5708,0.599059661
33996372,5732,0.597537003
33996372,6804,0.593822906
33996372,6812,0.590622102
33996372,6796,0.589285236
33996372,5676,0.587967973
33996541,7148,0.503652254
33996541,7156,0.48177653
33996541,7612,0.465851125
33996541,7620,0.465812282
33996541,7628,0.419750898
33996541,7164,0.383837194
33996541,5036,0.35
33996541,7636,0.322967077
33996541,7644,0.322364452
33996541,5100,0.317083302
33996541,6580,0.253401353
33996541,7348,0.235340102
33996541,5092,0.22057767
33996541,5156,0.214681881
33996541,5244,0.209742062
33996541,6924,0.196617496
33996541,7652,0.183338669
33996541,6204,0.180367175
33996541,5412,0.170336764
33996541,7660,0.168526626
34010028,7580,0.607699125
34010028,4892,0.433169932
34010028,5036,0.35
34010028,4916,0.339770252
34010028,4932,0.323152288
34010028,4964,0.316885102
34010028,6604,0.30561981
34010028,5020,0.30413806
34010028,5012,0.303403201
34010028,5028,0.261465286
34010028,7604,0.219274499
34010028,5156,0.214681881
34010028,5100,0.204824258
34010028,7668,0.142747331
34010028,5180,0.135751282
34010028,7676,0.13012393
34010028,5412,0.128868199
34010028,5428,0.120400855
34010028,5116,0.120204306
34010028,5436,0.120168418
34026435,7092,0.476554934
